ctmsId,externalId,namespace,contentType,createdAt,sourceLanguage,sourceText,targetLanguage,enReferenceTranslation,targetText,contentId,translationProvider,productViewCount,productRevenue,productURL,Evaluation,Root Cause,Comment,arabic_percentage
product-core_content-name_920741442_35,920741442_35,product-core,content-name,2025-03-18 08:43:46.443113 UTC,tr-tr,AE Long-Sleeve Linen-Blend Button-Up Shirt,ar-ae,,قميص AE بأكمام طويلة ومزود بأزرار,920741442,,,94854,,Not OK,قميص يحتوي على الكتان، بأكمام طويلة ومزود بأزرار من AE,,92.85714285714286
product-core_content-name_898634434_1,898634434_1,product-core,content-name,2025-02-17 11:35:33.414170 UTC,tr-tr,Bordo-Gri-Lacivert 3'lü Paket Slim/Dar Kesim Basic %100 Pamuk Tok Kumaş T-shirt TMNSS19BO0007,ar-ae,Burgundy-Grey-Navy Blue 3 Pack Slim/Narrow Cut Basic 100% Cotton T-Shirts Tmnss19Bo0007,تي شيرت أساسي مصنوع من القطن بنسبة 100% باللون العنابي والرمادي والأزرق الداكن مكون من 3 قطع TMNSS19BO0007,898634434,Alibaba,3905083.0,7127,https://www.trendyol.com/ar/pname-p-898634434,Not OK,Accuracy,,80.68181818181817
product-core_content-name_957301607_1,957301607_1,product-core,content-name,2025-07-16 13:04:38.337790 UTC,tr-tr,- Önü Yazı Detaylı Basic T-Shirt-Siyah,ar-ae,- Basic T-Shirt with Text Detail on the Front-Black,- تي شيرت أساسي بتفاصيل نص أمامي - أسود,957301607,Alibaba,4358529.0,41486,https://www.trendyol.com/ar/pname-p-957301607,Not OK,Accuracy,,100.0
ugc-rr_customer-review_746100682_48778138,746100682_48778138,ugc-rr,customer-review,2025-07-03 22:51:39.161848 UTC,tr-tr,Tesettürlüyüm azıcık uzun olmasını isterdim,ar-ae,"I wear hijab, I wish it was a little longer.",أرتدي الحجاب، وأتمنى أن يكون أطول قليلاً,746100682,Alibaba,20022760.0,78546,https://www.trendyol.com/ar/pname-p-746100682,Not OK,Accuracy,,106.25
product-core_content-name_386260904_1,386260904_1,product-core,content-name,2025-06-25 11:10:54.508815 UTC,tr-tr,Far Fıskiye Kapağı Sağ Doblo Jet 09-15,ar-ae,Headlight Bubbler Cover Right Doblo Jet 09-15,غطاء رأس الرشاش الأيمن Doblo Jet 09-15,386260904,Alibaba,,2680,https://www.trendyol.com/ar/pname-p-386260904,Not OK,,,61.29032258064516
product-core_content-name_380669772_1,380669772_1,product-core,content-name,2025-07-22 08:55:35.494813 UTC,tr-tr,Tensaur Hook and Loop Ayakkabı,ar-ae,Tensaur Hook and Loop Shoes,أحذية Tensaur Hook and Loop,380669772,Alibaba,2614642.0,70467,https://www.trendyol.com/ar/pname-p-380669772,Not OK,Accuracy,,21.73913043478261
product-core_content-name_951844298_1,951844298_1,product-core,content-name,2025-07-03 12:31:46.252102 UTC,tr-tr,Puma Shuffle Erkek Günlük Ayakkabı 30966803 Beyaz,ar-ae,Puma Shuffle Men's Casual Shoes30966803 White,بوما شوفل أحذية رجالية عادية30966803 أبيض,951844298,Alibaba,1579901.0,84923,https://www.trendyol.com/ar/pname-p-951844298,Not OK,Accuracy,,77.77777777777779
product-core_content-name_920741462_35,920741462_35,product-core,content-name,2025-03-18 08:43:46.420841 UTC,tr-tr,AE Logo Graphic T-Shirt,ar-ae,,تي شيرت برسومات شعار AE,920741462,,,61413,,Evaluation Blocked,,,89.47368421052632
product-core_content-description_967606559_1,967606559_1,product-core,content-description,2025-08-07 08:20:04.142219 UTC,tr-tr,PUMA Skyrocket Lıte Elevate Erkek Skyrocket Lıte Elevate 31149402 Renkli,ar-ae,PUMA Skyrocket Lite Elevate Men's Skyrocket Lite Elevate 31149402 Colorful,PUMA Skyrocket Lite Elevate رجال Skyrocket Lite Elevate 31149402 ملون,967606559,ctms-translation-validation,3227551.0,61991,https://www.trendyol.com/ar/pname-p-967606559,Not OK,Accuracy,,13.333333333333334
ugc-rr_customer-review_828498459_41325157,828498459_41325157,ugc-rr,customer-review,2025-01-13 21:29:18.743438 UTC,tr-tr,çok hafif ayakkabı rahat orijinal mi pek Anlayamadım ama kullanışlı beğendim,ar-ae,,حذاء خفيف جداً، مريح، هل هو أصلي؟ لم أفهمها لكني أحببتها مفيدة,828498459,,,671,,Evaluation Blocked,,,108.51063829787233
prod-qna_prod-qna_42713792_144594679_q,42713792_144594679_q,prod-qna,prod-qna,2025-04-11 22:49:48.967085 UTC,tr-tr,SLM aleyküm hayırlı işler makinede yıkamaya uygunmudur,ar-ae,,SLM عليكم، عمل جيد، هل هو مناسب للغسيل في الغسالة؟,42713792,,,63841,,Not OK,,,100.0
product-core_content-name_880668171_1,880668171_1,product-core,content-name,2025-06-23 13:29:03.863001 UTC,tr-tr,SEAT TOLEDO- 13/17; RADYATÖR FAN DAVLUMBAZI,ar-ae,Seat toledo- 13/17; radiator fan cover,مروحة الرادياتير توليدو - 13/17,880668171,Alibaba,,71624,https://www.trendyol.com/ar/pname-p-880668171,Not OK,,,84.0
product-core_content-name_788016417_1,788016417_1,product-core,content-name,2025-06-25 05:04:23.192775 UTC,tr-tr,LCW ACCESSORIES Kamuflaj Baskılı Erkek Çocuk Eldiven,ar-ae,LCW ACCESSORIES Camouflage Printed Boys' Gloves,LCW ACCESSORIES قفازات للأولاد مطبوعة مموهة,788016417,Alibaba,,68905,https://www.trendyol.com/ar/pname-p-788016417,Not OK,,,63.1578947368421
product-core_content-name_871568972_1,871568972_1,product-core,content-name,2025-06-25 02:50:49.001619 UTC,tr-tr,Marsilyan- Beyaz Emay 2020 Double String Korse,ar-ae,Marsilyan-White Emay 2020 Double String Corset,مشد مارسيليان- وايت إيماي 2020 ذو سلسلة مزدوجة,871568972,Alibaba,,50196,https://www.trendyol.com/ar/pname-p-871568972,Not OK,,,89.47368421052632
product-core_content-name_835657149_1,835657149_1,product-core,content-name,2025-06-23 13:25:11.814480 UTC,tr-tr,Opel Combo- 04/12; Sis Lamba Kapağı Sağ Siyah Siyahdelikli,ar-ae,Opel Combo- 04/12; Fog Lamp Cover Right Black with Black Hole,أوبل كومبو- 04/12; غطاء مصباح الضباب يمين أسود مع فتحة سوداء,835657149,Alibaba,,14530,https://www.trendyol.com/ar/pname-p-835657149,Not OK,,,91.48936170212765
product-core_content-description_838693091_1,838693091_1,product-core,content-description,2025-07-10 06:05:29.655736 UTC,tr-tr,Puma Club II Era Sneaker,ar-ae,Puma Club II Era Sneaker,حذاء سنيكرز من عصر النادي الثاني من بوما,838693091,Alibaba,4348021.0,95020,https://www.trendyol.com/ar/pname-p-838693091,Not OK,Terminology,,100.0
product-core_content-name_946280545_1,946280545_1,product-core,content-name,2025-06-19 11:01:53.081838 UTC,tr-tr,252SY916 Model Sarach Marka Siyah Renk Omuz Çantası,ar-ae,252Sy916 Model Sarach Brand Black Color Shoulder Bag,252SY916 حقيبة كتف موديل ساراش ماركة لون أسود,946280545,Alibaba,,48087,https://www.trendyol.com/ar/pname-p-946280545,Not OK,,,78.94736842105263
product-core_content-name_942064868_1,942064868_1,product-core,content-name,2025-06-02 19:36:35.849577 UTC,tr-tr,Erkek Pileli Kumaş Pantolon,ar-ae,Men's Pleated Fabric Trousers,بنطلون قماش مطوي للرجال,942064868,Alibaba,,28732,https://www.trendyol.com/ar/pname-p-942064868,Not OK,,,100.0
product-core_content-name_840250756_35,840250756_35,product-core,content-name,2025-04-08 12:38:59.485024 UTC,tr-tr,Hakiki Deri Saç Örgü Günlük Kadın Sandalet,ar-ae,,صنادل نسائية يومية من الجلد الطبيعي,840250756,,,94628,,Not OK,,missing information,100.0
product-core_content-name_359378962_1,359378962_1,product-core,content-name,2024-04-16 03:06:44.915064 UTC,tr-tr,6'lı Kokteyl Peçetesi Alice Altın Sim,ar-ae,6-Piece Cocktail Napkin Alice Gold Glitter,منديل كوكتيل مكون من 6 قطع أليس جولد جليتر,359378962,,,46542,https://www.trendyol.com/ar/pname-p-359378962,Not OK,,,97.05882352941177
product-core_content-description_896473192_1,896473192_1,product-core,content-description,2025-05-09 11:44:06.744418 UTC,tr-tr,Runfalcon 5 günlük spor ayakkabı sneaker ;,ar-ae,,حذاء رياضي رياضي غير رسمي من رنفالكون 5 ;,896473192,DeepL,6475366.0,23343,https://www.trendyol.com/ar/pname-p-896473192,Evaluation Blocked,,,96.875
prod-qna_prod-qna_470293693_266638336_q,470293693_266638336_q,prod-qna,prod-qna,2025-06-17 10:34:07.301822 UTC,tr-tr,kalıpları büyük.mu bol durmasini istiyorum,ar-ae,Is the size large? I want it to be loose.,هل الأنماط كبيرة؟أريد أن تكون فضفاضة.,470293693,Alibaba,,48941,https://www.trendyol.com/ar/pname-p-470293693,Not OK,,,103.33333333333334
product-core_content-description_122430746_1,122430746_1,product-core,content-description,2025-08-08 21:13:45.481493 UTC,tr-tr,ERKEK DÜZ PENYE BOXER 6 Adet,ar-ae,Men's Straight Combed Combed Boxer 6 Pieces,بوكسر رجالي مبطن 6 قطع,122430746,Alibaba,1177369.0,69435,https://www.trendyol.com/ar/pname-p-122430746,Not OK,Accuracy,,94.44444444444444
