ctmsId,externalId,namespace,contentType,createdAt,sourceLanguage,sourceText,targetLanguage,enReferenceTranslation,targetText,contentId,translationProvider,productViewCount,productRevenue,productURL,Evaluation,Root Cause,Comment,arabic_percentage
product-core_content-name_839049837_35,839049837_35,product-core,content-name,2025-05-07 14:47:55.270571 UTC,tr-tr,SUMMITS,ar-ae,,غد,839049837,,,82946,,OK,Summits,Literal translation,100.0
product-core_content-name_902242178_35,902242178_35,product-core,content-name,2025-02-26 06:21:31.821806 UTC,tr-tr,BOBS SQUAD WAVES,ar-ae,,BOBS SQUAD WAVES,902242178,,,69722,,OK,,,0.0
product-core_content-name_888608499_35,888608499_35,product-core,content-name,2025-02-07 11:58:08.582504 UTC,tr-tr,GO WALK GLIDE-STEP 2.0,ar-ae,,GO WALK GLIDE-STEP 2.0,888608499,,,61063,,OK,,,0.0
product-core_content-name_854362194_35,854362194_35,product-core,content-name,2025-05-07 14:53:06.794061 UTC,tr-tr,TRACK,ar-ae,,تتبع,854362194,,,28555,,OK,Track,Literal translation,100.0
product-core_content-name_901815550_35,901815550_35,product-core,content-name,2025-02-24 10:38:59.912958 UTC,tr-tr,PHANTOM GX II CLUB IC - MINTATOMICRED-OFFNOIR,ar-ae,,PHANTOM GX II CLUB IC - MINTATOMICRED-OFFNOIR,901815550,,,79211,,OK,,,0.0
product-core_content-name_899094912_35,899094912_35,product-core,content-name,2025-02-12 08:28:44.649078 UTC,tr-tr,AE Slim Fit Everyday Oxford Button-Up Shirt,ar-ae,,قميص AE Slim Fit Everyday Oxford Button-Up,899094912,,,17162,,OK,قميص Everyday Oxford بأزرار وقصة ضيقة من AE,Some words are left in EN,11.428571428571429
product-core_content-name_901815529_35,901815529_35,product-core,content-name,2025-02-24 10:38:59.716301 UTC,tr-tr,W NIKE INTERACT RUN - WHITEBLACK-DUSTYCACTUS-PUREPLATINUM,ar-ae,,W NIKE INTERACT RUN - WHITEBLACK-DUSTYCACTUS-PUREPLATINUM,901815529,,,42151,,Evaluation Blocked,,,0.0
product-core_content-name_902137916_35,902137916_35,product-core,content-name,2025-02-25 15:58:41.518166 UTC,tr-tr,Skyrocket Lite Sun Stream-Sunset Glow,ar-ae,,Skyrocket Lite Sun Stream-Sunset Glow,902137916,,,90605,,Not OK,,,0.0
product-core_content-name_893361846_35,893361846_35,product-core,content-name,2025-01-20 14:50:11.773946 UTC,tr-tr,ULTRA 5 PLAY FG/AG Jr PUMA White-PUMA Bl,ar-ae,,ULTRA 5 PLAY FG/AG Jr PUMA White-PUMA Bl,893361846,,,28622,,Evaluation Blocked,,,0.0
product-core_content-name_903885670_35,903885670_35,product-core,content-name,2025-03-03 19:27:12.263903 UTC,tr-tr,M J FLT ESS JD HBR SS CREW,ar-ae,,M J FLT ESS JD HBR SS CREW,903885670,,,95189,,Evaluation Blocked,,,0.0
product-core_content-name_902983722_35,902983722_35,product-core,content-name,2025-02-28 13:50:52.327793 UTC,tr-tr,NKNCLUBLBRKNITSHORTSET,ar-ae,,NKNCLUBLBRKNITSHORTSET,902983722,,,23675,,Evaluation Blocked,,,0.0
product-core_content-name_901815543_35,901815543_35,product-core,content-name,2025-02-24 10:38:59.731025 UTC,tr-tr,JRPHANTOMLUNAIICLUBTF - MINTATOMICRED-OFFNOIR,ar-ae,,JRPHANTOMLUNAIICLUBTF - MINTATOMICRED-OFFNOIR,901815543,,,42915,,Evaluation Blocked,,,0.0
product-core_content-name_901815525_35,901815525_35,product-core,content-name,2025-02-24 10:38:59.731194 UTC,tr-tr,C1TY - SMOKEGREYSUMMITWHITE-AQUARIUSBLUE,ar-ae,,C1TY - SMOKEGREYSUMMITWHITE-AQUARIUSBLUE,901815525,,,15959,,Evaluation Blocked,,,0.0
product-core_content-name_902983481_35,902983481_35,product-core,content-name,2025-02-28 13:50:53.377320 UTC,tr-tr,NKBBNSWOTLFTSHORTSET,ar-ae,,NKBBNSWOTLFTSHORTSET,902983481,,,23630,,Evaluation Blocked,,,0.0
product-core_content-name_896274989_35,896274989_35,product-core,content-name,2025-02-21 18:54:33.747541 UTC,tr-tr,UA Phade RN 3,ar-ae,,UA Phade RN 3,896274989,,,7047,,OK,,,0.0
product-core_content-description_894005492_1,894005492_1,product-core,content-description,2025-05-13 06:42:39.312498 UTC,tr-tr,.,ar-ae,,.,894005492,Alibaba,2538978.0,46232,https://www.trendyol.com/ar/pname-p-894005492,OK,,,0.0
prod-qna_prod-qna_131064478_307662524_q,131064478_307662524_q,prod-qna,prod-qna,2025-06-17 14:49:56.827089 UTC,tr-tr,merhaba uzunluk ne kadar..160 boy 74 kilo için hangi beden uyumlu olabilir �� teşekkürler ��,ar-ae,"Hello, what is the length? Which size is suitable for 160 cm tall and 74 kg? � �   thanks � �",مرحبا كم الطول ما هو المقاس المناسب لطول 160 سم ووزن 74 كجم؟ � �   شكرًا � �,131064478,Alibaba,,48885,https://www.trendyol.com/ar/pname-p-131064478,OK,,,94.11764705882352
ugc-rr_customer-review_857360129_1050832,857360129_1050832,ugc-rr,customer-review,2025-06-16 22:38:39.405754 UTC,tr-tr,"Teşekkür yerini hazıtirlamadığım için ederi daha açmadım , kırk çıkmaz inşallah��",ar-ae,"I haven't opened the thank you yet because I didn't prepare it, I hope it won't be forty ��","""لم أفتح الهدية بعد لأنني لم أعدّ شكرًا لك، أتمنى ألا تتجاوز الأربعين""""."" ��",857360129,Alibaba,,3075,https://www.trendyol.com/ar/pname-p-857360129,Evaluation Blocked,,,105.66037735849056
ugc-rr_customer-review_926230917_123594795,926230917_123594795,ugc-rr,customer-review,2025-06-28 22:25:04.589660 UTC,tr-tr,pisdir islemir,ar-ae,pisdir islemir,pisdir islemir,926230917,Alibaba,,5881,https://www.trendyol.com/ar/pname-p-926230917,Evaluation Blocked,,,0.0
product-core_content-name_945644097_1,945644097_1,product-core,content-name,2025-06-17 15:12:44.870128 UTC,tr-tr,5-YILDIZLI Galatâsarây./ Sane ./ 2024/25 Deplasman Beyaz Forma 4lü Set 5-YILDIZLI,ar-ae,5-Star Galatasaray./ Sane ./ 2024/25 Away White Jersey Set of 4 5-Star,5-STAR Galatasaray./ Sane ./ 2024/25 Away White Jersey Set 4 5-STAR,945644097,Alibaba,,91046,https://www.trendyol.com/ar/pname-p-945644097,Evaluation Blocked,,,0.0
product-core_content-name_900398083_1,900398083_1,product-core,content-name,2025-06-17 18:08:44.450677 UTC,tr-tr,Ezg Karre Beyaz Komütatör A.Opp Ezsnshop 1065757,ar-ae,Ezg Karre White Commutator A.Opp Ezsnshop 1065757,Ezg Karre White Commutator A.Opp Ezsnshop 1065757,900398083,Alibaba,,14354,https://www.trendyol.com/ar/pname-p-900398083,Not OK,,,0.0
product-core_content-name_948513741_1,948513741_1,product-core,content-name,2025-06-25 15:05:03.903312 UTC,tr-tr,Bizhub MUADİL TN328 C250i C300i C360i C450i C550i C650i C7130i C251i C301i C361i Printer,ar-ae,Bizhub Equivalent Tn328 C250I C300I C360I C450I C550I C650I C7130I C251I C301I C361I Printer,Bizhub متوافق مع طابعة TN328 C250i C300i C360i C450i C550i C650i C7130i C251i C301i C361i,948513741,Alibaba,,30848,https://www.trendyol.com/ar/pname-p-948513741,OK,,,17.333333333333336
product-core_content-description_872222524_1,872222524_1,product-core,content-description,2025-06-25 11:33:14.587582 UTC,tr-tr,985310 modatrendyx Novella Met Beyaz Ikili Nümers Cat3 Mekanizma+Düğme Kapak trndx,ar-ae,985310 modatrendyx novella met white double number cat3 mechanism+button cover trndx,985310 modatrendyx Novella Met White Dual Nümers Cat3 Mechanism+Button Cover trndx,872222524,Alibaba,,53847,https://www.trendyol.com/ar/pname-p-872222524,Evaluation Blocked,,,0.0
product-core_content-description_897745733_1,897745733_1,product-core,content-description,2025-06-25 09:41:41.534360 UTC,tr-tr,LESJÖFORS KAPUT AMORTİSÖRÜ,ar-ae,Lesjöfors hood shock absorber,LESJOFSORS KAPUT AMORTISOR,897745733,Alibaba,,66465,https://www.trendyol.com/ar/pname-p-897745733,Evaluation Blocked,,,0.0
ugc-rr_customer-review_298459017_11414199,298459017_11414199,ugc-rr,customer-review,2025-07-02 22:36:28.282045 UTC,tr-tr,Gömlek oversize olduğu için 2 beden küçük aldim tam geldi��,ar-ae,"Since the shirt is oversize, I bought it 2 sizes smaller and it fit perfectly. ��",نظرًا لأن القميص كبير الحجم، فقد اشتريته بمقاسين أصغر وهو مناسب تمامًا. ��,298459017,Alibaba,20022760.0,62472,https://www.trendyol.com/ar/pname-p-298459017,OK,,,105.35714285714286
product-core_content-description_828498470_1,828498470_1,product-core,content-description,2025-08-27 19:57:47.700322 UTC,tr-tr,0,ar-ae,0,0,828498470,Alibaba,2314628.0,72490,https://www.trendyol.com/ar/pname-p-828498470,Ideal,,,0.0
product-core_content-description_339019378_1,339019378_1,product-core,content-description,2025-08-28 09:08:55.824041 UTC,tr-tr,-,ar-ae,-,-,339019378,DeepL,2781537.0,63761,https://www.trendyol.com/ar/pname-p-339019378,,,,0.0
product-core_content-description_784461128_1,784461128_1,product-core,content-description,2025-08-12 11:56:31.893331 UTC,tr-tr,.,ar-ae,.,.,784461128,DeepL,1924856.0,600,https://www.trendyol.com/ar/pname-p-784461128,,,,0.0
product-core_content-name_939053991_1,939053991_1,product-core,content-name,2025-08-20 14:24:31.198156 UTC,tr-tr,VL COURT 3.0,ar-ae,Vl Court 3.0,VL COURT 3.0,939053991,Alibaba,1012844.0,61495,https://www.trendyol.com/ar/pname-p-939053991,Ideal,,,0.0
ugc-rr_customer-review_117283820_65367282,117283820_65367282,ugc-rr,customer-review,2025-08-16 00:29:47.641791 UTC,tr-tr,Her rengini aldım merhaba rengine ayrı bayıldım ��,ar-ae,"I bought every color. Hello, I loved the color. ��",اشتريت كل لون، مرحبا، أحببت اللون. ��,117283820,Alibaba,38594961.0,23768,https://www.trendyol.com/ar/pname-p-117283820,OK,,,107.6923076923077
ugc-rr_customer-review_934445739_80418986,934445739_80418986,ugc-rr,customer-review,2025-08-14 22:15:04.551482 UTC,tr-tr,Çok güzel bir ayakkabı ����,ar-ae,A very nice shoe �� ��,حذاء جميل جدا �� ��,934445739,Alibaba,10708491.0,26191,https://www.trendyol.com/ar/pname-p-934445739,OK,,,100.0
ugc-rr_customer-review_91335942_74802302,91335942_74802302,ugc-rr,customer-review,2025-08-14 23:08:24.872099 UTC,tr-tr,"Bu markadan 4 farklı gönleğim daha var.Kesinlikle kalitesi çok iyi.
Rengi tam yazlık. Bayıldımmm��",ar-ae,"I have 4 more different hearts from this brand. The quality is definitely very good. 
 The color is perfect for summer. I love it ��","لدي 4 قلوب مختلفة من هذه العلامة التجارية، والجودة جيدة جدًا بالتأكيد. 
 اللون مثالي لفصل الصيف. أنا أحبه ��",91335942,Alibaba,38594961.0,81785,https://www.trendyol.com/ar/pname-p-91335942,OK,,,101.21951219512195
prod-qna_prod-qna_310922752_336590328_q,310922752_336590328_q,prod-qna,prod-qna,2025-08-08 22:15:41.067223 UTC,tr-tr,merhabalar efendim Acaba gömlekler uzunluğu ne kadar yani kalça altına geliyor mu��,ar-ae,"Hello sir, I wonder how long the shirts are, do they come below the hips? � �",مرحبا سيدي، أتساءل ما هو طول القمصان، وهل تصل إلى أسفل الوركين؟ � �,310922752,Alibaba,38594961.0,9456,https://www.trendyol.com/ar/pname-p-310922752,OK,,,106.12244897959184
prod-qna_prod-qna_42639036_337460385_a,42639036_337460385_a,prod-qna,prod-qna,2025-08-12 16:48:49.515070 UTC,tr-tr,"merhaba değerli müşterimiz ""38"" beden almanızı tavsiye ederiz. Sağlıklı günler��",ar-ae,"Hello dear customer, we recommend you buy size ""38"". Healthy days ��","مرحباً عزيزي العميل، ننصحك بشراء مقاس ""38"". أيام صحية ��",42639036,Alibaba,26374292.0,91047,https://www.trendyol.com/ar/pname-p-42639036,OK,,,100.0
prod-qna_prod-qna_89234145_329434459_a,89234145_329434459_a,prod-qna,prod-qna,2025-08-10 21:36:20.170251 UTC,tr-tr,"Merhaba, ürün bedenlere uyumlu kalıptır. Kendi bedeninizi tercih edebilirsiniz. İlginiz için teşekkür ederiz. ��",ar-ae,"Hello, the product is a suitable mold for sizes. You can choose your own size. Thank you for your interest. ��",مرحبًا، المنتج مناسب للأحجام. يمكنك اختيار الحجم الخاص بك. شكرا لك على اهتمامك. ��,89234145,Alibaba,38594961.0,59617,https://www.trendyol.com/ar/pname-p-89234145,OK,,,103.2258064516129
ugc-rr_customer-review_788142444_200442248,788142444_200442248,ugc-rr,customer-review,2025-08-12 22:47:49.592563 UTC,tr-tr,kaliteli ve kullanışlı hem kışlık hem yazlık ��,ar-ae,high quality and useful for both winter and summer ��,نوعية جيدة ومفيدة لكل من الشتاء والصيف ��,788142444,Alibaba,38594961.0,57614,https://www.trendyol.com/ar/pname-p-788142444,OK,,,100.0
ugc-rr_customer-review_348322279_65367282,348322279_65367282,ugc-rr,customer-review,2025-08-15 23:22:58.685807 UTC,tr-tr,gayet şık duruyor  rengi tam sitedeki gibi bayıldım ��,ar-ae,"It looks very stylish, the color is exactly as on the website, I love it ��",يبدو أنيقًا جدًا، اللون تمامًا كما هو موضح على الموقع، أحبه ��,348322279,Alibaba,38594961.0,12493,https://www.trendyol.com/ar/pname-p-348322279,OK,,,111.36363636363636
